ticker,average_confidence_score,appearance_count
KRYS,8.9375,16
ELA,8.681818181818182,22
LQDA,8.511111111111111,45
LSCC,8.511111111111111,45
FN,8.5,2
NWPX,8.5,44
GRC,8.5,4
ALAB,8.5,2
CRDO,8.451612903225806,31
PTGX,8.444444444444445,9
DGII,8.3125,16
CGNX,8.25,16
SEI,8.25,16
NGS,8.25,4
CDNA,8.214285714285714,14
ATLC,8.135135135135135,37
COCO,8.133333333333333,45
STRL,8.125,16
CON,8.125,16
TKR,8.088888888888889,45
ORA,8.045454545454545,22
MTRN,8.022222222222222,45
SNEX,8.022222222222222,45
IRM,8.0,16
GH,8.0,2
EVR,8.0,1
CAVA,8.0,4
601677.SS,8.0,41
1651.HK,8.0,14
ZVRA,8.0,9
RDVT,8.0,4
KNSA,8.0,2
GKOS,8.0,2
SEPN,8.0,2
688138.SS,8.0,1
YOU,8.0,14
VNOM,8.0,3
688059.SS,7.976744186046512,43
AZZ,7.966666666666667,30
INSW,7.962962962962963,27
AAON,7.955555555555556,45
LFUS,7.955555555555556,45
WTTR,7.9375,16
ARW,7.9375,16
ALGM,7.9375,16
688630.SS,7.928571428571429,14
URGN,7.911111111111111,45
KALU,7.911111111111111,45
INOD,7.892857142857143,28
LFST,7.875,8
STLD,7.866666666666666,45
ALRS,7.866666666666666,45
300221.SZ,7.833333333333333,6
MLI,7.833333333333333,42
001332.SZ,7.823529411764706,34
1256.TW,7.8076923076923075,26
300236.SZ,7.8,10
688519.SS,7.8,20
002645.SZ,7.785714285714286,14
ETON,7.785714285714286,14
688257.SS,7.780487804878049,41
RS,7.777777777777778,45
AIP,7.777777777777778,45
RSI,7.777777777777778,45
300503.SZ,7.777777777777778,9
DTM,7.769230769230769,13
BGC,7.76,25
688378.SS,7.758620689655173,29
600186.SS,7.75,8
LION,7.733333333333333,45
300373.SZ,7.733333333333333,15
603031.SS,7.725,40
LIND,7.688888888888889,45
CALY,7.688888888888889,45
CHRD,7.684210526315789,19
OSCR,7.67741935483871,31
RBCAA,7.666666666666667,3
688395.SS,7.666666666666667,9
688328.SS,7.65,40
688668.SS,7.642857142857143,14
CBOE,7.636363636363637,11
002832.SZ,7.627906976744186,43
TRS,7.625,16
EZPW,7.609756097560975,41
301536.SZ,7.605263157894737,38
PRM,7.6,45
605566.SS,7.594594594594595,37
603638.SS,7.586206896551724,29
300988.SZ,7.571428571428571,7
APLD,7.571428571428571,42
1334.HK,7.555555555555555,36
DY,7.555555555555555,45
CMP,7.555555555555555,45
XMTR,7.555555555555555,9
3773.HK,7.545454545454546,22
SUN,7.541666666666667,24
XHR,7.533333333333333,45
6136.HK,7.533333333333333,15
HCC,7.526315789473684,19
ICHR,7.511111111111111,45
ESI,7.511111111111111,45
LPTH,7.511111111111111,45
NLST,7.5,6
688308.SS,7.5,40
002838.SZ,7.5,14
688558.SS,7.5,6
VIRT,7.488888888888889,45
003022.SZ,7.4772727272727275,44
BURL,7.470588235294118,17
001326.SZ,7.466666666666667,15
001210.SZ,7.454545454545454,44
002079.SZ,7.441860465116279,43
FLYW,7.419354838709677,31
603124.SS,7.4186046511627906,43
CLFD,7.4,30
688699.SS,7.4,5
301012.SZ,7.391304347826087,23
688350.SS,7.390243902439025,41
688536.SS,7.386363636363637,44
ONTO,7.384615384615385,13
FFBC,7.355555555555555,45
688368.SS,7.348837209302325,43
1571.HK,7.3478260869565215,23
300179.SZ,7.341463414634147,41
603155.SS,7.333333333333333,3
TRNS,7.333333333333333,9
300802.SZ,7.333333333333333,3
MCBS,7.333333333333333,6
688345.SS,7.314285714285714,35
002283.SZ,7.3076923076923075,13
002956.SZ,7.3023255813953485,43
5243.TW,7.3,10
300438.SZ,7.285714285714286,14
HLIT,7.285714285714286,42
ABUS,7.285714285714286,14
002643.SZ,7.266666666666667,15
RIOT,7.25,16
MTUS,7.25,4
FBNC,7.238095238095238,21
UE,7.222222222222222,45
300852.SZ,7.214285714285714,14
300821.SZ,7.209302325581396,43
DINO,7.2,45
603790.SS,7.1923076923076925,26
AMPX,7.166666666666667,18
SXT,7.162162162162162,37
LXRX,7.162162162162162,37
DMLP,7.142857142857143,7
LUNR,7.135135135135135,37
605111.SS,7.133333333333334,15
MRVI,7.133333333333334,45
IVT,7.125,16
600360.SS,7.125,40
WES,7.125,8
301603.SZ,7.116279069767442,43
STAA,7.103448275862069,29
688309.SS,7.1,20
CASY,7.1,30
603203.SS,7.093023255813954,43
001266.SZ,7.093023255813954,43
300263.SZ,7.093023255813954,43
001270.SZ,7.083333333333333,12
301176.SZ,7.073170731707317,41
001339.SZ,7.068181818181818,44
SHO,7.0625,16
300706.SZ,7.054054054054054,37
2235.HK,7.0476190476190474,21
603489.SS,7.0344827586206895,29
000883.SZ,7.0,3
KYMR,7.0,4
002741.SZ,7.0,1
0K6M.L,7.0,3
PTCT,7.0,4
002842.SZ,7.0,3
ACRS,7.0,14
AGM,7.0,8
RYZ,7.0,4
SPSY.L,7.0,2
603701.SS,7.0,12
601699.SS,7.0,3
300919.SZ,7.0,5
301150.SZ,7.0,5
300252.SZ,7.0,1
MAS,7.0,2
600226.SS,7.0,3
605099.SS,7.0,3
FIVE,7.0,11
WKC,7.0,4
DKS,6.9411764705882355,17
688628.SS,6.931034482758621,29
601101.SS,6.930232558139535,43
002803.SZ,6.928571428571429,14
688677.SS,6.9,40
300776.SZ,6.896551724137931,29
300005.SZ,6.894736842105263,38
603991.SS,6.884615384615385,26
688388.SS,6.88,25
002297.SZ,6.869565217391305,23
603353.SS,6.868421052631579,38
LPG,6.866666666666666,45
301189.SZ,6.8604651162790695,43
605100.SS,6.8604651162790695,43
USAC,6.846153846153846,26
003026.SZ,6.846153846153846,13
002843.SZ,6.833333333333333,6
600078.SS,6.833333333333333,6
002407.SZ,6.823529411764706,17
688025.SS,6.815789473684211,38
0425.HK,6.8,5
000690.SZ,6.8,40
688508.SS,6.790697674418604,43
603041.SS,6.7894736842105265,19
PL,6.785714285714286,14
002937.SZ,6.785714285714286,14
NJR,6.782608695652174,23
BSTZ,6.777777777777778,45
BST,6.777777777777778,36
603217.SS,6.769230769230769,26
300042.SZ,6.75,8
UMAC,6.75,4
PGEN,6.75,4
002833.SZ,6.75,20
WERN,6.75,8
PBT,6.7368421052631575,38
1945.HK,6.733333333333333,15
NBHC,6.714285714285714,7
688006.SS,6.714285714285714,14
300432.SZ,6.666666666666667,15
002254.SZ,6.666666666666667,3
2018.HK,6.666666666666667,3
SWX,6.666666666666667,15
002025.SZ,6.666666666666667,6
002240.SZ,6.666666666666667,6
001226.SZ,6.666666666666667,3
000921.SZ,6.666666666666667,3
600961.SS,6.655172413793103,29
NI,6.65,20
002810.SZ,6.65,20
688379.SS,6.631578947368421,38
002576.SZ,6.625,8
002885.SZ,6.615384615384615,26
300763.SZ,6.609756097560975,41
002216.SZ,6.605263157894737,38
688383.SS,6.604651162790698,43
RMR,6.604651162790698,43
002203.SZ,6.590909090909091,44
002134.SZ,6.588235294117647,17
CLOV,6.580645161290323,31
PLUS,6.571428571428571,7
002685.SZ,6.571428571428571,14
002962.SZ,6.558139534883721,43
CSWC,6.545454545454546,11
EVRG,6.538461538461538,13
001378.SZ,6.536585365853658,41
688052.SS,6.5227272727272725,44
TAL.TO,6.5,6
000833.SZ,6.5,2
000062.SZ,6.5,2
NN,6.5,16
300283.SZ,6.5,40
301149.SZ,6.5,6
KEEL,6.5,2
603938.SS,6.476190476190476,21
001223.SZ,6.466666666666667,30
688456.SS,6.44,25
000026.SZ,6.424242424242424,33
605358.SS,6.4,10
601222.SS,6.4,15
301196.SZ,6.391304347826087,23
002948.SZ,6.386363636363637,44
300323.SZ,6.37037037037037,27
000595.SZ,6.35,40
603738.SS,6.346153846153846,26
003018.SZ,6.341463414634147,41
603507.SS,6.333333333333333,6
0J38.L,6.333333333333333,3
CCD,6.333333333333333,3
APA,6.333333333333333,3
000593.SZ,6.333333333333333,15
ADX,6.317073170731708,41
300504.SZ,6.3023255813953485,43
603823.SS,6.285714285714286,28
600573.SS,6.266666666666667,15
603520.SS,6.25,12
300249.SZ,6.25,4
301130.SZ,6.25,4
301188.SZ,6.209302325581396,43
PTAL.L,6.2,10
300700.SZ,6.186046511627907,43
300840.SZ,6.166666666666667,6
NFJ,6.16,25
HUM,6.148148148148148,27
300769.SZ,6.133333333333334,15
1626.HK,6.125,40
UNIT,6.125,16
600936.SS,6.117647058823529,34
600985.SS,6.1,10
XIFR,6.088888888888889,45
002077.SZ,6.05,40
2436.HK,6.023255813953488,43
600605.SS,6.0,4
000551.SZ,6.0,5
AM,6.0,4
601187.SS,6.0,1
300545.SZ,6.0,34
RES,6.0,1
300490.SZ,6.0,1
1963.HK,6.0,3
600012.SS,6.0,42
600623.SS,6.0,1
CII,6.0,6
EIG,6.0,4
AHR,6.0,7
002213.SZ,6.0,23
EFC,6.0,6
301591.SZ,6.0,3
3866.HK,5.944444444444445,18
300067.SZ,5.916666666666667,12
NWE,5.911764705882353,34
688016.SS,5.909090909090909,11
AIO,5.909090909090909,11
600744.SS,5.9,20
BKH,5.869565217391305,23
603906.SS,5.866666666666666,15
688619.SS,5.782608695652174,23
000966.SZ,5.76,25
UHAL,5.75,4
002747.SZ,5.666666666666667,3
600259.SS,5.666666666666667,3
600885.SS,5.666666666666667,3
MCHP,5.666666666666667,6
300162.SZ,5.653846153846154,26
HQH,5.5625,16
603798.SS,5.533333333333333,15
0420.HK,5.5,2
002289.SZ,5.5,28
002650.SZ,5.464285714285714,28
001215.SZ,5.333333333333333,3
PBF,5.333333333333333,3
300593.SZ,5.333333333333333,3
002392.SZ,5.25,12
002515.SZ,5.125,16
603229.SS,5.083333333333333,12
603776.SS,5.055555555555555,18
1285.HK,5.0,1
688229.SS,5.0,2
002587.SZ,4.75,4
000570.SZ,4.75,4
688528.SS,4.35,20
GDOT,4.117647058823529,17
1490.HK,4.0,1
301020.SZ,4.0,2
1163.HK,4.0,1
000402.SZ,3.4615384615384617,13
